RBD,NOM_RBD,NOM_COM_RBD,lon,lat,Zona
1,LICEO POLITECNICO ARICA,ARICA,-70.294692,-18.4871859,Norte Grande
3,ESC. PEDRO VICENTE GUTIERREZ TORRES,ARICA,-70.3027753,-18.4869579,Norte Grande
4,LICEO OCTAVIO PALMA PEREZ,ARICA,-70.3079199,-18.4741696,Norte Grande
5,JOVINA NARANJO FERNANDEZ,ARICA,-70.3134525,-18.4768037,Norte Grande
7,L. POLI. ANTONIO VARAS DE LA BARRA,ARICA,-70.2879497,-18.4759464,Norte Grande
8,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,ARICA,-70.3173691,-18.4826722,Norte Grande
9,ESCUELA REPUBLICA DE ISRAEL,ARICA,-70.3027753,-18.4869579,Norte Grande
10,ESCUELA REPUBLICA DE FRANCIA,ARICA,-70.3089205,-18.4742235,Norte Grande
11,ESC. GRAL. PEDRO LAGOS MARCHANT,ARICA,-70.3115916,-18.4911091,Norte Grande
12,ESCUELA GRAL JOSE MIGUEL CARRERA,ARICA,-70.2939799,-18.4921091,Norte Grande
13,ESCUELA MANUEL RODRIGUEZ ERDOYZA,ARICA,-70.284364,-18.4810937,Norte Grande
14,ESCUELA ROMULO J. PENA MATURANA,ARICA,-70.2898409,-18.4812571,Norte Grande
15,LICEO ARTISTICO DR. JUAN NOE CREVANI,ARICA,-70.3010027,-18.4721469,Norte Grande
16,ESCUELA REGIMIENTO RANCAGUA,ARICA,-70.3088676,-18.4749112,Norte Grande
17,ESCUELA SUBTTE. LUIS CRUZ MARTINEZ,ARICA,-70.2911681,-18.4674828,Norte Grande
18,ESC. COMTE. JUAN JOSE SAN MARTIN,ARICA,-70.2873814,-18.4767764,Norte Grande
19,ESC. HUMBERTO VALENZUELA GARCIA,ARICA,-70.2919,-18.4746942,Norte Grande
20,ESCUELA TUCAPEL,ARICA,-70.2950403,-18.4799516,Norte Grande
22,ESCUELA GABRIELA MISTRAL,ARICA,-70.2908709,-18.4477318,Norte Grande
25,COLEGIO CENTENARIO DE ARICA,ARICA,-70.2931087,-18.4398155,Norte Grande
26,ESCUELA REPUBLICA DE ARGENTINA,ARICA,-70.3039305,-18.4782974,Norte Grande
27,ESCUELA ESMERALDA,ARICA,-70.3078845,-18.4832545,Norte Grande
28,ESCUELA RICARDO SILVA ARRIAGADA,ARICA,-70.2944621,-18.4849429,Norte Grande
29,ESCUELA AMERICA,ARICA,-70.282653,-18.4776808,Norte Grande
31,ESCUELA DARIO SALAS DIAZ,ARICA,-70.2941695,-18.4829196,Norte Grande
32,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,ARICA,-70.1784405,-18.5193336,Norte Grande
33,ESCUELA CARLOS CONDELL DE LA HAZA,ARICA,-70.2253391,-18.4168696,Norte Grande
35,ESCUELA GRAL. MANUEL BAQUEDANO,ARICA,-70.3185446,-18.4794324,Norte Grande
36,ESCUELA IGNACIO CARRERA PINTO,ARICA,-70.2840039,-18.4966002,Norte Grande
38,ESCUELA ESPA�A,ARICA,-70.2908709,-18.4477318,Norte Grande
39,ESCUELA PAMPA ALGODONAL,ARICA,-69.9654236,-18.5777823,Norte Grande
41,ESCUELA VALLE DE CHACA,ARICA,-70.136249,-18.8281505,Norte Grande
42,ESCUELA MOLINOS LLUTA,ARICA,-70.282653,-18.4776808,Norte Grande
